Interval start,All packets
0,140
1,157
2,182
3,169
4,169
5,163
6,176
7,178
8,149
9,150
10,155
11,160
12,172
13,167
14,169
15,163
16,161
17,162
18,157
19,158
20,157
21,157
22,167
23,176
24,162
25,154
26,164
27,164
28,165
29,158
30,138
31,166
32,169
33,146
34,149
35,150
36,155
37,141
38,148
39,143
40,161
41,159
42,150
43,150
44,151
45,139
46,140
47,152
48,150
49,148
50,147
51,62
52,26
53,16
54,22
55,128
56,151
57,132
58,143
59,136
60,142
61,145
62,139
63,146
64,135
65,139
66,149
67,141
68,144
69,134
70,138
71,145
72,146
73,146
74,144
75,142
76,134
77,127
78,131
79,137
80,134
81,142
82,143
83,130
84,142
85,138
86,127
87,143
88,138
89,124
90,147
91,139
92,130
93,128
94,133
95,127
96,137
97,119
98,133
99,140
100,146
101,124
102,128
103,123
104,108
105,139
106,123
107,134
108,109
109,127
110,120
111,45
112,26
113,18
114,6
117,87
118,117
119,120
120,133
121,123
122,135
123,129
124,129
125,115
126,127
127,114
128,121
129,131
130,132
131,118
132,123
133,120
134,116
135,114
136,112
137,123
138,133
139,124
140,129
141,113
142,119
143,113
144,129
145,105
146,116
147,120
148,120
149,129
150,127
151,102
152,118
153,117
154,111
155,116
156,118
157,111
158,116
159,116
160,114
161,117
162,111
163,131
164,129
165,117
166,112
167,122
168,123
169,99
170,116
171,47
172,18
173,17
174,21
175,106
176,126
177,124
178,107
179,105
180,106
181,121
182,125
183,111
184,102
185,98
186,113
187,100
188,110
189,120
190,105
191,105
192,111
193,122
194,114
195,111
196,107
197,110
198,107
199,111
200,107
201,124
202,111
203,111
204,113
205,105
206,119
207,99
208,105
209,105
210,101
211,109
212,119
213,111
214,113
215,112
216,106
217,108
218,101
219,53
220,118
221,121
222,116
223,110
224,103
225,115
226,121
227,116
228,90
229,112
230,99
231,38
232,20
233,12
234,21
235,92
236,100
237,99
238,87
239,114
240,106
241,100
242,106
243,98
244,99
245,107
246,112
247,114
248,99
249,117
250,114
251,114
252,105
253,105
254,112
255,88
256,101
257,111
258,109
259,109
260,106
261,110
262,97
263,95
264,110
265,107
266,107
267,101
268,97
269,94
270,100
271,110
272,108
273,98
274,88
275,96
276,96
277,98
278,95
279,83
280,98
281,103
282,85
283,98
284,101
285,104
286,100
287,95
288,98
289,92
290,95
291,40
292,18
293,17
294,17
295,86
296,97
297,96
298,100
299,100
300,95
301,105
302,104
303,95
304,99
305,102
306,96
307,86
308,99
309,102
310,92
311,101
312,92
313,93
314,93
315,95
316,103
317,102
318,78
319,91
320,99
321,98
322,102
323,102
324,97
325,95
326,100
327,99
328,94
329,80
330,98
331,94
332,95
333,92
334,89
335,87
336,92
337,89
338,97
339,101
340,95
341,93
342,103
343,95
344,100
345,89
346,87
347,87
348,76
349,55
350,89
351,7
353,3
354,13
355,82
356,84
357,91
358,87
359,95
360,88
361,85
362,89
363,81
364,93
365,97
366,93
367,91
368,86
369,82
370,84
371,88
372,81
373,90
374,93
375,93
376,94
377,95
378,96
379,90
380,93
381,95
382,90
383,92
384,95
385,92
386,84
387,92
388,87
389,86
390,82
391,82
392,89
393,87
394,88
395,82
396,86
397,94
398,90
399,84
400,88
401,84
402,82
403,81
404,83
405,84
406,81
407,88
408,85
409,77
410,89
411,33
412,15
413,16
414,18
415,66
416,87
417,81
418,86
419,78
420,82
421,79
422,86
423,83
424,82
425,84
426,90
427,79
428,83
429,76
430,76
431,79
432,63
433,85
434,80
435,84
436,83
437,83
438,84
439,79
440,90
441,84
442,89
443,87
444,86
445,88
446,80
447,80
448,83
449,79
450,82
451,84
452,83
453,82
454,79
455,85
456,79
457,80
458,80
459,87
460,84
461,72
462,83
463,82
464,84
465,74
466,82
467,80
468,82
469,79
470,79
471,29
472,8
474,7
475,63
476,83
477,83
478,81
479,82
480,86
481,79
482,80
483,78
484,82
485,76
486,80
487,83
488,81
489,80
490,84
491,74
492,77
493,78
494,73
495,74
496,83
497,78
498,72
499,75
500,80
501,82
502,76
503,75
504,79
505,78
506,77
507,67
508,36
509,76
510,79
511,80
512,75
513,76
514,80
515,74
516,80
517,84
518,82
519,76
520,76
521,81
522,73
523,78
524,80
525,74
526,66
527,81
528,76
529,74
530,78
531,28
532,14
533,11
534,14
535,64
536,80
537,78
538,78
539,73
540,76
541,75
542,78
543,72
544,82
545,80
546,74
547,75
548,77
549,80
550,80
551,78
552,77
553,73
554,79
555,79
556,70
557,72
558,74
559,75
560,75
561,79
562,73
563,78
564,80
565,78
566,81
567,74
568,75
569,72
570,77
571,76
572,77
573,76
574,78
575,75
576,75
577,73
578,79
579,77
580,77
581,73
582,74
583,74
584,71
585,81
586,74
587,74
588,77
589,74
590,73
591,32
592,16
593,9
594,5
596,7
597,51
598,79
599,71
600,73
601,77
602,79
603,80
604,75
605,72
606,72
607,2
